Release:     2015_05 of 29-Apr-2015
120070: CO4A3_HUMAN (Q01955)    
120090: CO4A2_HUMAN (P08572)    
120100: NALP3_HUMAN (Q96P20)    
120105: COL_HUMAN   (P04118)    
120110: COAA1_HUMAN (Q03692)    
120120: CO7A1_HUMAN (Q02388)    
120130: CO4A1_HUMAN (P02462)    
120131: CO4A4_HUMAN (P53420)    
120140: CO2A1_HUMAN (P02458)    
120150: CO1A1_HUMAN (P02452)    
120160: CO1A2_HUMAN (P08123)    
120165: COJA1_HUMAN (Q14993)    
120180: CO3A1_HUMAN (P02461)    
120190: CO5A2_HUMAN (P05997)    
120200: PAX6_HUMAN  (P26367)    
120210: CO9A1_HUMAN (P20849)    
120215: CO5A1_HUMAN (P20908)    
120216: CO5A3_HUMAN (P25940)    
120220: CO6A1_HUMAN (P12109)    
120240: CO6A2_HUMAN (P12110)    
120250: CO6A3_HUMAN (P12111)    
120251: CO8A1_HUMAN (P27658)    
120252: CO8A2_HUMAN (P25067)    
120260: CO9A2_HUMAN (Q14055)    
120270: CO9A3_HUMAN (Q14050)    
120280: COBA1_HUMAN (P12107)    
120290: COBA2_HUMAN (P13942)    
120320: COCA1_HUMAN (Q99715)    
120324: COEA1_HUMAN (Q05707)    
120325: COFA1_HUMAN (P39059)    
120326: COGA1_HUMAN (Q07092)    
120328: COIA1_HUMAN (P39060)    
120330: PAX2_HUMAN  (Q02962)    
120350: CODA1_HUMAN (Q5TAT6)    
120353: MMP1_HUMAN  (P03956)    
120355: MMP8_HUMAN  (P22894)    
120360: MMP2_HUMAN  (P08253)    
120361: MMP9_HUMAN  (P14780)    
120420: CSF1_HUMAN  (P09603)    
120430: PAX6_HUMAN  (P26367)    
120433: YAP1_HUMAN  (P46937)    
120435: MSH2_HUMAN  (P43246)    
120436: MLH1_HUMAN  (P40692)    
120470: DCC_HUMAN   (P43146)    
120520: NEP_HUMAN   (P08473)    
120550: C1QA_HUMAN  (P02745)    
120570: C1QB_HUMAN  (P02746)    
